roll,pitch,yaw,acc_x,acc_y,acc_z,label
280,1820,1190,11,1,994,1
1190,70,1190,10,-8,1001,1
-140,-2520,-560,4,-9,1005,1
-140,910,3430,14,-8,992,1
2100,-4760,280,20,2,1024,1
1190,-2100,2940,14,-8,1006,1
-140,-2520,770,21,-5,1000,1
-1050,490,770,13,-6,991,1
1610,1820,-1050,19,1,1006,1
2100,-4270,1190,10,-8,995,1
1190,-770,-2380,68,-31,1000,1
-1050,70,2100,22,-15,994,1
2100,-1260,-140,21,-18,990,1
1610,-3430,-3220,6,-9,994,1
280,-770,-1470,10,-7,1007,1
-560,-770,1190,18,-4,998,1
-140,-1680,-140,20,0,993,1
2520,-350,-140,12,2,998,1
3430,70,-140,9,-4,992,1
3850,-2100,-2380,16,-10,996,1
-140,490,-140,20,-9,1000,1
-1470,70,280,12,0,1004,1
3430,-3430,-560,15,-4,1002,1
-3710,-1680,-1050,12,-14,1002,1
1610,70,-1890,14,-12,1007,1
-1050,2660,-2380,14,-18,997,1
-2380,-2100,-560,19,7,987,1
-1470,-2100,-140,9,0,998,1
3430,-1680,-2380,13,-2,1003,1
-560,-1260,1190,18,0,998,1
2100,-1260,280,5,-6,983,1
280,-770,2100,30,-19,1012,1
2100,-350,-1470,-16,28,1020,1
2100,-1260,-1050,16,-20,1003,1
-140,-1260,-2380,11,4,989,1
-140,-2100,1190,12,3,1000,1
-140,-350,1190,20,-2,1002,1
2520,910,-560,23,-13,997,1
-2380,490,-1470,17,-6,1002,1
3850,-3850,-1470,21,-5,993,1
-1050,-1680,2940,17,4,996,1
2520,-2100,1610,23,-78,1016,1
-140,-3850,2520,22,-3,992,1
3010,70,2100,23,7,996,1
280,490,-560,21,-3,998,1
280,910,3430,46,-22,1003,1
-140,490,1610,22,0,996,1
-140,-1260,2100,85,-31,943,1
770,70,2520,17,3,1001,1
280,910,770,15,-18,997,1
-560,-1260,2520,11,-20,1004,1
770,-770,280,16,-1,1003,1
280,1820,-560,20,-7,994,1
1610,-1260,-140,22,1,990,1
-1470,-1260,2520,23,5,1001,1
770,-3010,-140,11,-2,1002,1
-2380,1820,-1890,13,-13,1017,1
-560,-2520,-1050,10,6,996,1
770,-2100,1190,8,-8,1005,1
770,-1260,-1050,10,-4,992,1
-560,-770,-560,7,-4,1002,1
-3220,490,1190,10,11,994,1
-1470,-2100,-1890,5,-1,979,1
-1050,2240,-140,25,-6,990,1
-1050,-1680,2520,22,-4,997,1
-560,1400,6090,3,-2,998,1
1190,-350,-1470,16,-1,993,1
1190,-1680,-1050,18,-8,992,1
280,-1260,280,13,-9,987,1
1190,-350,-140,11,-8,1005,1
-1050,-770,770,15,-4,1002,1
280,910,770,14,-18,1004,1
-2800,490,-3220,19,-21,989,1
-560,-1260,1190,21,-6,994,1
-1470,490,770,16,-5,1005,1
770,-2100,770,15,-3,998,1
-2800,-770,-1890,13,-8,999,1
3430,-3010,-4550,17,-4,986,1
280,490,770,9,-7,1003,1
1610,-1680,2520,6,0,1003,1
770,-350,-560,15,-10,994,1
-560,4410,280,23,-11,1001,1
-560,-350,280,1,-4,997,1
-1050,-770,-140,12,-6,987,1
2520,-2520,2100,20,0,1000,1
-140,910,280,24,3,994,1
-560,-1680,280,28,-7,990,1
-140,-2100,-560,6,-8,997,1
2100,-3010,2520,11,-4,996,1
-2380,-4760,-3220,16,-3,997,1
280,-350,2520,20,-12,995,1
-1050,70,1190,25,-7,1003,1
-3220,910,-560,11,-3,996,1
2520,-1260,2520,14,-1,998,1
-560,-770,1610,14,0,996,1
-1050,2240,2100,18,-7,994,1
-1050,-770,770,20,0,995,1
-1470,2660,2520,13,-1,994,1
770,-770,1190,11,-9,996,1
1610,-1260,-5040,21,-7,995,1
280,-3850,-2380,11,0,1001,1
-2380,-2520,-560,12,-13,1001,1
3010,-1680,770,8,6,998,1
-1890,70,770,23,-6,995,1
-560,70,1610,17,-3,990,1
