roll,pitch,yaw,acc_x,acc_y,acc_z,label
3010,1400,2520,18,-9,987,1
-1050,-840,2940,17,-17,991,1
-1050,-2100,-560,18,-5,990,1
-1470,1400,3850,27,-13,1006,1
-2800,-770,-1890,13,-8,999,1
3430,-3430,-560,15,-4,1002,1
1190,70,1190,10,-8,1001,1
-1050,-1680,770,20,-18,1002,1
-560,-2100,-140,13,-5,993,1
3010,1400,2100,20,-2,1000,1
2520,-2520,-1050,14,-7,990,1
-1050,490,2100,24,-11,997,1
-2380,-350,1190,16,-11,1004,1
280,2240,280,20,-18,998,1
-140,490,-140,20,-9,1000,1
-1470,2240,-1890,17,-16,1004,1
-1470,2660,2520,13,-1,994,1
-1890,490,2940,16,-4,989,1
2100,-3430,-2380,13,-11,996,1
280,70,770,30,-11,1002,1
770,-2100,-1470,10,-3,997,1
280,-350,770,18,-15,994,1
2100,-1260,-1050,16,-20,1003,1
2100,-3430,-1470,23,-11,998,1
-1050,490,770,17,-17,997,1
3010,70,2100,23,7,996,1
2100,-4270,1190,10,-8,995,1
770,-1260,-1050,10,-4,992,1
770,-350,770,18,-12,993,1
-560,-350,-1050,26,-12,991,1
2520,-1260,2520,14,-1,998,1
-2380,910,770,18,-14,1002,1
2520,-1680,-140,12,0,1000,1
1680,1820,2100,18,-13,998,1
-140,-3850,-2380,15,-15,992,1
280,-770,2100,30,-19,1012,1
1680,-2100,3430,24,-13,994,1
770,70,770,18,-4,999,1
2100,-770,2940,8,1,992,1
-1470,-350,2520,13,-12,996,1
-1890,-3430,-560,12,-16,999,1
-3220,490,1190,10,11,994,1
2520,2240,2520,20,-14,988,1
-140,910,280,24,3,994,1
3010,-4270,-1470,14,-12,990,1
-560,-2100,-1050,16,-12,996,1
1610,-1680,-560,22,-10,996,1
280,70,770,12,2,994,1
770,-3010,770,26,-25,992,1
-140,-350,1190,11,-15,993,1
-140,70,-1050,8,-17,990,1
-140,-3010,2520,17,-16,991,1
280,910,1190,13,-14,995,1
770,-1260,280,15,-1,993,1
-140,-2520,770,21,-5,1000,1
2520,-3850,280,13,-20,1001,1
-560,-770,-560,7,-4,1002,1
-1050,70,1190,25,-7,1003,1
770,-3010,-1050,24,-13,993,1
1680,1400,770,16,-12,992,1
3010,-2520,770,23,-7,994,1
770,-770,1190,11,-9,996,1
-1050,-770,770,15,-4,1002,1
-140,490,1610,22,0,996,1
1610,-770,770,18,-4,999,1
-560,490,1190,11,-7,1002,1
770,70,-1470,22,-20,993,1
-5460,3150,-1470,0,-2,1004,1
-140,-2100,-560,6,-8,997,1
-140,-3430,-1890,13,-12,997,1
1680,1820,-1050,28,-17,990,1
-140,-350,-560,9,-20,996,1
1610,-2520,-140,20,-1,992,1
280,-770,-1890,12,-8,996,1
1190,-1680,770,13,6,1002,1
-1050,-350,280,11,-1,990,1
2520,-2520,-560,12,-20,990,1
2520,910,-1050,24,-9,1000,1
-1470,-2520,2100,11,-13,996,1
-140,-2100,1190,12,3,1000,1
2520,-2100,-1470,18,-15,997,1
2520,-350,2940,11,-4,1003,1
-1050,-2100,-2800,9,-4,996,1
280,490,770,9,-7,1003,1
-560,1400,770,21,-11,991,1
2520,-770,1610,26,-14,991,1
-3710,910,2100,15,-17,998,1
1190,-1260,-560,8,-19,993,1
-1050,-3430,1610,13,-18,998,1
-1470,-4760,280,17,-7,997,1
-1050,70,280,11,0,1003,1
2100,-1260,-140,21,-18,990,1
770,-840,2100,31,-9,1001,1
3010,-770,1190,10,-9,990,1
-1050,70,1610,10,-3,1005,1
770,-1260,280,16,-7,997,1
